year,month,day,start_time,duration,extend,anchorA,anchorB
2021,09,26,1900,38,T,Bao-XiaoFeng,Guo-ZhiJian
2021,09,27,2100,33,T,Li-ZiMeng,Yan-YuXin
2021,09,28,2100,47,T,Bao-XiaoFeng,Guo-ZhiJian
2021,09,29,1900,45,T,Zheng-Li,Gang-Qiang
2021,09,30,1900,52,T,Li-ZiMeng,Kang-Hui
2021,10,01,1900,30,F,Hai-Xia,Kang-Hui
2021,10,02,1900,30,F,Zheng-Li,Pan-Tao
2021,10,03,1900,30,F,Bao-XiaoFeng,Guo-ZhiJian
2021,10,04,1900,30,F,Li-ZiMeng,Yan-YuXin
2021,10,05,1900,30,F,Li-ZiMeng,Gang-Qiang
2021,10,06,1900,30,F,Bao-XiaoFeng,Kang-Hui
2021,10,07,1900,30,F,Hai-Xia,Pan-Tao
2021,10,08,1900,35,T,Hai-Xia,Gang-Qiang
2021,10,09,1900,30,F,Zheng-Li,Pan-Tao
2021,10,10,1900,30,F,Zheng-Li,Kang-Hui
2021,10,11,1900,30,F,Li-ZiMeng,Yan-YuXin
2021,10,12,2100,30,F,Zheng-Li,Gang-Qiang
2021,10,13,1900,30,F,Hai-Xia,Guo-ZhiJian
2021,10,14,1900,43,T,Hai-Xia,Guo-ZhiJian
2021,10,15,2100,39,T,Bao-XiaoFeng,Kang-Hui
2021,10,16,1900,30,F,Bao-XiaoFeng,Kang-Hui
2021,10,17,1900,30,F,Li-ZiMeng,Pan-Tao
2021,10,18,1900,30,F,Zheng-Li,Yan-YuXin
2021,10,19,2100,40,T,Li-ZiMeng,Pan-Tao
2021,10,20,1900,35,T,Hai-Xia,Gang-Qiang
2021,10,21,2100,35,T,Zheng-Li,Kang-Hui
2021,10,22,1900,50,T,Bao-XiaoFeng,Guo-ZhiJian
2021,10,23,2100,30,F,Hai-Xia,Guo-ZhiJian
2021,10,24,1900,30,F,Li-ZiMeng,Yan-YuXin
2021,10,25,2100,40,T,Hai-Xia,Guo-ZhiJian
2021,10,26,2100,40,F,Li-ZiMeng,Guo-ZhiJian
